

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.046  000.046: --- NVIM STARTING ---
000.917  000.872: event init
001.115  000.197: early init
001.333  000.218: locale set
001.641  000.308: init first window
002.132  000.491: inits 1
003.064  000.931: window checked
003.134  000.070: parsing arguments
004.276  000.132  000.132: require('vim.shared')
004.434  000.006  000.006: require('vim.inspect')
006.423  000.074  000.074: require('vim._options')
006.449  002.120  002.040: require('vim._editor')
006.471  002.406  000.153: require('vim._init_packages')
006.494  000.954: init lua interpreter
006.697  000.203: expanding arguments
008.488  001.791: inits 2
008.614  000.126: init highlight
010.667  002.053: waiting for UI
012.525  001.857: done waiting for UI
012.584  000.059: clear screen
014.171  000.037  000.037: require('vim.keymap')
020.387  006.343  006.306: require('vim._defaults')
020.412  001.485: init default mappings & autocommands
020.569  000.157: --cmd commands
043.768  000.444  000.444: sourcing /nix/store/z7h7s17q2i8bk04rn77snlrdyyr5z81s-neovim-unwrapped-4e59422/share/nvim/runtime/ftplugin.vim
047.790  000.478  000.478: sourcing /nix/store/z7h7s17q2i8bk04rn77snlrdyyr5z81s-neovim-unwrapped-4e59422/share/nvim/runtime/indent.vim
049.724  000.631  000.631: require('catppuccin')
051.083  000.691  000.691: require('catppuccin.lib.hashing')
054.628  001.756  001.756: require('vim.uri')
054.672  001.868  000.113: require('vim.loader')
055.035  000.055  000.055: require('vim.fs')
057.408  002.506  002.452: sourcing /nix/store/kq17lpd1i6k7wp9zqwlkbarn7i867zdp-vim-pack-dir/pack/myNeovimPackages/start/catppuccin-nvim/colors/catppuccin.vim
066.042  000.098  000.098: require('crates.types')
066.067  000.226  000.128: require('crates.semver')
066.164  000.078  000.078: require('crates.state')
066.345  000.161  000.161: require('crates.toml')
066.369  000.663  000.198: require('crates.edit')
066.613  000.226  000.226: require('crates.util')
066.651  001.487  000.598: require('crates.actions')
066.813  000.139  000.139: require('crates.async')
067.870  000.268  000.268: require('crates.time')
067.904  000.716  000.448: require('crates.api')
068.001  000.078  000.078: require('crates.diagnostic')
068.093  000.072  000.072: require('crates.ui')
068.119  001.147  000.281: require('crates.core')
068.346  000.135  000.135: require('crates.popup.common')
068.636  000.266  000.266: require('crates.popup.crate')
068.826  000.168  000.168: require('crates.popup.dependencies')
069.020  000.170  000.170: require('crates.popup.features')
069.143  000.101  000.101: require('crates.popup.versions')
069.181  001.044  000.203: require('crates.popup')
069.210  002.376  000.185: require('crates.command')
